title,ott
신이 말하는 대로,"{'streaming': {}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CT01_MBC000012172'}, 'buy': {}}"
존 윅,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C3001_C300000012481'}, 'rent': {}, 'buy': {}}"
내부자들,"{'streaming': {'Netflix': 'http://www.netflix.com/title/80092929', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_SB01_SB0000000082'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_SB01_SB0000000082', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%2582%25B4%25EB%25B6%2580%25EC%259E%2590%25EB%2593%25A4?gl=KR%26hl=en%26id=-7zkr3bjlpc'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%2582%25B4%25EB%25B6%2580%25EC%259E%2590%25EB%2593%25A4?gl=KR%26hl=en%26id=-7zkr3bjlpc'}}"
007 스펙터,"{'streaming': {'Watcha': 'https://watcha.com/contents/mWpkjx5'}, 'rent': {}, 'buy': {}}"
나를 찾아줘,"{'streaming': {'Netflix': 'http://www.netflix.com/title/70305893', 'Amazon Prime Video': 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.f0ab87fd-01de-b8f3-833a-3177cc31f68a'}, 'rent': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4719958'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4719959', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%2582%2598%25EB%25A5%25BC_%25EC%25B0%25BE%25EC%2595%2584%25EC%25A4%2598?gl=KR%26hl=en%26id=Y8VbeyKo-wg'}}"
빅 쇼트,"{'streaming': {'Netflix': 'http://www.netflix.com/title/80075560', 'Amazon Prime Video': 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.84b49af0-cc89-50c5-1752-b75eaf031f3d'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CQ01_PT0000011223'}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CQ01_PT0000011223'}}"
위플래쉬,"{'streaming': {'Watcha': 'https://watcha.com/contents/mdEw9nb'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_EN01_EN000000062', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1819225', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%259C%2584%25ED%2594%258C%25EB%259E%2598%25EC%2589%25AC?gl=KR%26hl=en%26id=Ijv6tW5mIGo'}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_EN01_EN000000062', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1819223', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%259C%2584%25ED%2594%258C%25EB%259E%2598%25EC%2589%25AC?gl=KR%26hl=en%26id=Ijv6tW5mIGo'}}"
헝거게임- 더 파이널,"{'streaming': {'Watcha': 'https://watcha.com/contents/mWJJGxW'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C901_SG0000136224', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2597%259D%25EA%25B1%25B0%25EA%25B2%258C%25EC%259E%2584_%25EB%258D%2594_%25ED%258C%258C%25EC%259D%25B4%25EB%2584%2590?gl=KR%26hl=en%26id=AaN_DllwGG0'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=6063434', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2597%259D%25EA%25B1%25B0%25EA%25B2%258C%25EC%259E%2584_%25EB%258D%2594_%25ED%258C%258C%25EC%259D%25B4%25EB%2584%2590?gl=KR%26hl=en%26id=AaN_DllwGG0'}}"
인사이드 아웃,"{'streaming': {}, 'rent': {}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1982517', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CA01_DY0000011345'}}"
미라클 벨리에,"{'streaming': {}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CV01_KE0000011192'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1979024'}}"
헝거게임- 모킹제이,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C901_SG0000125508', 'Watcha': 'https://watcha.com/contents/mdK3Qkd'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C901_SG0000125508', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2597%259D%25EA%25B1%25B0%25EA%25B2%258C%25EC%259E%2584_%25EB%25AA%25A8%25ED%2582%25B9%25EC%25A0%259C%25EC%259D%25B4?gl=KR%26hl=en%26id=KuDyVM6lm8w.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4881160', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2597%259D%25EA%25B1%25B0%25EA%25B2%258C%25EC%259E%2584_%25EB%25AA%25A8%25ED%2582%25B9%25EC%25A0%259C%25EC%259D%25B4?gl=KR%26hl=en%26id=KuDyVM6lm8w.P'}}"
더 랍스터,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C901_SG0000078153'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C901_SG0000078153'}, 'buy': {}}"
브루클린,"{'streaming': {}, 'rent': {}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CH01_FX0000011425', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2305299', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25B8%258C%25EB%25A3%25A8%25ED%2581%25B4%25EB%25A6%25B0?gl=KR%26hl=en%26id=jCtOdIOdzK4'}}"
더 퍼지: 거리의 반란,"{'streaming': {'Netflix': 'http://www.netflix.com/title/70299747', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CG01_NU0000011510'}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%258D%2594_%25ED%258D%25BC%25EC%25A7%2580_%25EA%25B1%25B0%25EB%25A6%25AC%25EC%259D%2598_%25EB%25B0%2598%25EB%259E%2580?gl=KR%26hl=en%26id=SwAgyaUbqlE', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CG01_NU0000011510'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%258D%2594_%25ED%258D%25BC%25EC%25A7%2580_%25EA%25B1%25B0%25EB%25A6%25AC%25EC%259D%2598_%25EB%25B0%2598%25EB%259E%2580?gl=KR%26hl=en%26id=SwAgyaUbqlE', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CG01_NU0000011510'}}"
나이트 크롤러,"{'streaming': {}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C901_SG0000127231', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%2582%2598%25EC%259D%25B4%25ED%258A%25B8_%25ED%2581%25AC%25EB%25A1%25A4%25EB%259F%25AC?gl=KR%26hl=en%26id=0PvTZpNM7BA.P'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%2582%2598%25EC%259D%25B4%25ED%258A%25B8_%25ED%2581%25AC%25EB%25A1%25A4%25EB%259F%25AC?gl=KR%26hl=en%26id=0PvTZpNM7BA.P'}}"
가디언즈 오브 갤럭시,"{'streaming': {}, 'rent': {}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CA01_DY0000011254', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1666584', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EA%25B0%2580%25EB%2594%2594%25EC%2596%25B8%25EC%25A6%2588_%25EC%2598%25A4%25EB%25B8%258C_%25EA%25B0%25A4%25EB%259F%25AD%25EC%258B%259C?gl=KR%26hl=en%26id=oKkHGFMJ148'}}"
프랑켄슈타인: 불멸의 영웅,"{'streaming': {'Netflix': 'http://www.netflix.com/title/70242805', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_SB01_SB0000000069', 'Watcha': 'https://watcha.com/contents/mdjrLrd'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_SB01_SB0000000069', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4821855', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2594%2584%25EB%259E%2591%25EC%25BC%2584%25EC%258A%2588%25ED%2583%2580%25EC%259D%25B8_%25EB%25B6%2588%25EB%25A9%25B8%25EC%259D%2598_%25EC%2598%2581%25EC%259B%2585?gl=KR%26hl=en%26id=M_5UjV7ZkRk.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4408962', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2594%2584%25EB%259E%2591%25EC%25BC%2584%25EC%258A%2588%25ED%2583%2580%25EC%259D%25B8_%25EB%25B6%2588%25EB%25A9%25B8%25EC%259D%2598_%25EC%2598%2581%25EC%259B%2585?gl=KR%26hl=en%26id=M_5UjV7ZkRk.P'}}"
더 위치,"{'streaming': {}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%258D%2594_%25EC%259C%2584%25EC%25B9%2598?gl=KR%26hl=en%26id=nyKMc7mSIvc', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CG01_NU0000011269', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2426963'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%258D%2594_%25EC%259C%2584%25EC%25B9%2598?gl=KR%26hl=en%26id=nyKMc7mSIvc', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2426964'}}"
그랜드 부다페스트 호텔,"{'streaming': {}, 'rent': {}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EA%25B7%25B8%25EB%259E%259C%25EB%2593%259C_%25EB%25B6%2580%25EB%258B%25A4%25ED%258E%2598%25EC%258A%25A4%25ED%258A%25B8_%25ED%2598%25B8%25ED%2585%2594?gl=KR%26hl=en%26id=TbjRHA8WsCk', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CH01_FX0000011373'}}"
