title,ott
007 스카이폴,"{'streaming': {'Watcha': 'https://watcha.com/contents/m5x42l5'}, 'rent': {}, 'buy': {}}"
킬링 소프틀리,"{'streaming': {'Netflix': 'http://www.netflix.com/title/70209252', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_SB01_SB0000000052'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_SB01_SB0000000052', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2582%25AC%25EB%25A7%2581_%25EC%2586%258C%25ED%2594%2584%25ED%258B%2580%25EB%25A6%25AC?gl=KR%26hl=en%26id=qvSahHbf-64'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2582%25AC%25EB%25A7%2581_%25EC%2586%258C%25ED%2594%2584%25ED%258B%2580%25EB%25A6%25AC?gl=KR%26hl=en%26id=qvSahHbf-64'}}"
제로 다크 서티,"{'streaming': {'Netflix': 'http://www.netflix.com/title/70251669', 'Watcha': 'https://watcha.com/contents/m5Doj0d'}, 'rent': {}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=607473', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%25A0%259C%25EB%25A1%259C_%25EB%258B%25A4%25ED%2581%25AC_%25EC%2584%259C%25ED%258B%25B0?gl=KR%26hl=en%26id=XAejb-bDgJY.P'}}"
어벤져스,"{'streaming': {}, 'rent': {}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CA01_DY0000011181', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2734261', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2596%25B4%25EB%25B2%25A4%25EC%25A0%25B8%25EC%258A%25A4_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=xjq5NDum_W0'}}"
인 타임,"{'streaming': {'Netflix': 'http://www.netflix.com/title/70202129', 'Amazon Prime Video': 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.f2af4e15-3143-6131-4819-0c202e21ea85', 'Watcha': 'https://watcha.com/contents/mObMNNW'}, 'rent': {}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CH01_FX0000011314', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1612039', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%259D%25B8_%25ED%2583%2580%25EC%259E%2584?gl=KR%26hl=en%26id=3UMUyyIo7jg'}}"
드라이브,"{'streaming': {}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CT01_MBC000013444', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%2593%259C%25EB%259D%25BC%25EC%259D%25B4%25EB%25B8%258C?gl=KR%26hl=en%26id=93A13ZxxAhc.P'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%2593%259C%25EB%259D%25BC%25EC%259D%25B4%25EB%25B8%258C?gl=KR%26hl=en%26id=93A13ZxxAhc.P'}}"
다크 나이트 라이즈,"{'streaming': {'Netflix': 'http://www.netflix.com/title/70213514', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011176', 'Watcha': 'https://watcha.com/contents/mW4rmed'}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%258B%25A4%25ED%2581%25AC%25EB%2582%2598%25EC%259D%25B4%25ED%258A%25B8_%25EB%259D%25BC%25EC%259D%25B4%25EC%25A6%2588?gl=KR%26hl=en%26id=b01v1RNz_xg', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=524139', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011176'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=519908', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%258B%25A4%25ED%2581%25AC%25EB%2582%2598%25EC%259D%25B4%25ED%258A%25B8_%25EB%259D%25BC%25EC%259D%25B4%25EC%25A6%2588?gl=KR%26hl=en%26id=b01v1RNz_xg', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011176'}}"
아르고,"{'streaming': {}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2595%2584%25EB%25A5%25B4%25EA%25B3%25A0?gl=KR%26hl=en%26id=LBRaf32FAew', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=577894', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011126'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2595%2584%25EB%25A5%25B4%25EA%25B3%25A0?gl=KR%26hl=en%26id=LBRaf32FAew', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011126', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=577893'}}"
팅커 테일러 솔저 스파이,"{'streaming': {}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%258C%2585%25EC%25BB%25A4_%25ED%2585%258C%25EC%259D%25BC%25EB%259F%25AC_%25EC%2586%2594%25EC%25A0%2580_%25EC%258A%25A4%25ED%258C%258C%25EC%259D%25B4?gl=KR%26hl=en%26id=1iOlm8EnyZ4'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%258C%2585%25EC%25BB%25A4_%25ED%2585%258C%25EC%259D%25BC%25EB%259F%25AC_%25EC%2586%2594%25EC%25A0%2580_%25EC%258A%25A4%25ED%258C%258C%25EC%259D%25B4?gl=KR%26hl=en%26id=1iOlm8EnyZ4'}}"
혹성탈출: 진화의 시작,"{'streaming': {}, 'rent': {}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CH01_FX0000011345', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1561558', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2598%25B9%25EC%2584%25B1%25ED%2583%2588%25EC%25B6%259C_%25EC%25A7%2584%25ED%2599%2594%25EC%259D%2598_%25EC%258B%259C%25EC%259E%2591?gl=KR%26hl=en%26id=c397C_zRlX0'}}"
