title,ott
크레이지 리치 아시안,"{'streaming': {}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2581%25AC%25EB%25A0%2588%25EC%259D%25B4%25EC%25A7%2580_%25EB%25A6%25AC%25EC%25B9%2598_%25EC%2595%2584%25EC%258B%259C%25EC%2595%2588?gl=KR%26hl=en%26id=lKTgtWLo6dA.P', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3778141', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011558'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2581%25AC%25EB%25A0%2588%25EC%259D%25B4%25EC%25A7%2580_%25EB%25A6%25AC%25EC%25B9%2598_%25EC%2595%2584%25EC%258B%259C%25EC%2595%2588?gl=KR%26hl=en%26id=lKTgtWLo6dA.P', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011558', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3778140'}}"
터미네이터: 다크 페이트,"{'streaming': {}, 'rent': {}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CH01_FX0000011579', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4774343', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2584%25B0%25EB%25AF%25B8%25EB%2584%25A4%25EC%259D%25B4%25ED%2584%25B0_%25EB%258B%25A4%25ED%2581%25AC_%25ED%258E%2598%25EC%259D%25B4%25ED%258A%25B8?gl=KR%26hl=en%26id=l_N218yDMLs.P'}}"
데드풀 2,"{'streaming': {}, 'rent': {}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CH01_FX0000011529'}}"
포드 V 페라리,"{'streaming': {}, 'rent': {}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CH01_FX0000011580', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4814839', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%258F%25AC%25EB%2593%259C_V_%25ED%258E%2598%25EB%259D%25BC%25EB%25A6%25AC_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=80juQ7aaApQ'}}"
부탁 하나만 들어줘,"{'streaming': {}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CW01_CW0000011270'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25B6%2580%25ED%2583%2581_%25ED%2595%2598%25EB%2582%2598%25EB%25A7%258C_%25EB%2593%25A4%25EC%2596%25B4%25EC%25A4%2598_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=lRq7jDD8a8Q'}}"
메이즈 러너: 데스 큐어,"{'streaming': {}, 'rent': {}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3283018', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25A9%2594%25EC%259D%25B4%25EC%25A6%2588_%25EB%259F%25AC%25EB%2584%2588_%25EB%258D%25B0%25EC%258A%25A4_%25ED%2581%2590%25EC%2596%25B4_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=2noH4ZoA8lU', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CH01_FX0000011462'}}"
아쿠아맨,"{'streaming': {}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2595%2584%25EC%25BF%25A0%25EC%2595%2584%25EB%25A7%25A8?gl=KR%26hl=en%26id=ORQx1nhGL8M.P', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4018039', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011563'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2595%2584%25EC%25BF%25A0%25EC%2595%2584%25EB%25A7%25A8?gl=KR%26hl=en%26id=ORQx1nhGL8M.P', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011563', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3922857'}}"
다키스트 마인드,"{'streaming': {}, 'rent': {}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3664133', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%258B%25A4%25ED%2582%25A4%25EC%258A%25A4%25ED%258A%25B8_%25EB%25A7%2588%25EC%259D%25B8%25EB%2593%259C_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=PJXDex2Cai4', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CH01_FX0000011532'}}"
겨울왕국 2,"{'streaming': {}, 'rent': {}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4821120', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EA%25B2%25A8%25EC%259A%25B8%25EC%2599%2595%25EA%25B5%25AD_2_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=9kTBYkw3zH8'}}"
결혼 이야기,"{'streaming': {'Netflix': 'http://www.netflix.com/title/80223779'}, 'rent': {}, 'buy': {}}"
존 윅 3: 파라벨룸,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CW01_CW0000011324'}, 'rent': {}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%25A1%25B4%25EC%259C%2585_3_%25ED%258C%258C%25EB%259D%25BC%25EB%25B2%25A8%25EB%25A3%25B8?gl=KR%26hl=en%26id=eDVvg9VQfwc.P'}}"
타오르는 여인의 초상,"{'streaming': {'Watcha': 'https://watcha.com/contents/mWyaxex'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CW01_CW0000011389', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4930093'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4930092', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2583%2580%25EC%2598%25A4%25EB%25A5%25B4%25EB%258A%2594_%25EC%2597%25AC%25EC%259D%25B8%25EC%259D%2598_%25EC%25B4%2588%25EC%2583%2581_%25EB%25B6%2580%25EA%25B0%2580%25EC%2598%2581%25EC%2583%2581_%25EC%25A0%259C%25EA%25B3%25B5?gl=KR%26hl=en%26id=JlRLsGWWkJ0.P'}}"
퍼스트 리폼드,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C901_SG0000117806', 'Watcha': 'https://watcha.com/contents/mWJyDQ8'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C901_SG0000117806', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%258D%25BC%25EC%258A%25A4%25ED%258A%25B8_%25EB%25A6%25AC%25ED%258F%25BC%25EB%2593%259C?gl=KR%26hl=en%26id=BbT-n67oALg.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4123319', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%258D%25BC%25EC%258A%25A4%25ED%258A%25B8_%25EB%25A6%25AC%25ED%258F%25BC%25EB%2593%259C?gl=KR%26hl=en%26id=BbT-n67oALg.P'}}"
벌새,"{'streaming': {'Netflix': 'http://www.netflix.com/title/81092100'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CJ01_CA0000011638', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4619774', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25B2%258C%25EC%2583%2588?gl=KR%26hl=en%26id=JooObPB2uxI.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4619775'}}"
샤잠!,"{'streaming': {}, 'rent': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4139079'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2583%25A4%25EC%259E%25A0?gl=KR%26hl=en%26id=clQpbro9jeI.P', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011569', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4139078'}}"
툴리,"{'streaming': {'Netflix': 'http://www.netflix.com/title/80216308', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CJ01_CA0000011494'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CJ01_CA0000011494', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2588%25B4%25EB%25A6%25AC?gl=KR%26hl=en%26id=VI99aB1crVU.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3825500', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2588%25B4%25EB%25A6%25AC?gl=KR%26hl=en%26id=VI99aB1crVU.P'}}"
맘마 미아! 2,"{'streaming': {}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25A7%2598%25EB%25A7%2588%25EB%25AF%25B8%25EC%2595%2584_2_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=LfFnNEig7Mo', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3702099'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25A7%2598%25EB%25A7%2588%25EB%25AF%25B8%25EC%2595%2584_2_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=LfFnNEig7Mo', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3702098', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CG01_NU0000011316'}}"
메가로돈,"{'streaming': {}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/The_Meg?gl=KR%26hl=en%26id=u40LznZf4nE', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3687180'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/The_Meg?gl=KR%26hl=en%26id=u40LznZf4nE', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011554', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3647468'}}"
앤트맨과 와스프,"{'streaming': {}, 'rent': {}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3668306', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2595%25A4%25ED%258A%25B8%25EB%25A7%25A8%25EA%25B3%25BC_%25EC%2599%2580%25EC%258A%25A4%25ED%2594%2584_%25EB%258D%2594%25EB%25B9%2599%25ED%258C%2590?gl=KR%26hl=en%26id=2Bw6ZnU45Tk'}}"
