title,ott
사진사의 여자,"{'streaming': {}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CT01_MBC000013685', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2582%25AC%25EC%25A7%2584%25EC%2582%25AC%25EC%259D%2598_%25EC%2597%25AC%25EC%259E%2590?gl=KR%26hl=en%26id=5NtjxaGGZmY.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=6506202', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2582%25AC%25EC%25A7%2584%25EC%2582%25AC%25EC%259D%2598_%25EC%2597%25AC%25EC%259E%2590?gl=KR%26hl=en%26id=5NtjxaGGZmY.P'}}"
말레피센트 2,"{'streaming': {}, 'rent': {}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4750019', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25A7%2590%25EB%25A0%2588%25ED%2594%25BC%25EC%2584%25BC%25ED%258A%25B8_2_%25EB%258D%2594%25EB%25B9%2599%25ED%258C%2590?gl=KR%26hl=en%26id=OHH7WAr4ePM'}}"
미녀 삼총사 3,"{'streaming': {}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25AF%25B8%25EB%2585%2580_%25EC%2582%25BC%25EC%25B4%259D%25EC%2582%25AC_3_Charlie_s_Angels?gl=KR%26hl=en%26id=EqdccJhxwGI.P', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011602', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4893262'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25AF%25B8%25EB%2585%2580_%25EC%2582%25BC%25EC%25B4%259D%25EC%2582%25AC_3_Charlie_s_Angels?gl=KR%26hl=en%26id=EqdccJhxwGI.P', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4971625', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011602'}}"
운디네,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CK01_TCO000012645'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CK01_TCO000012645', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%259A%25B4%25EB%2594%2594%25EB%2584%25A4?gl=KR%26hl=en%26id=XybCC1Kr7sg.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=5865477', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%259A%25B4%25EB%2594%2594%25EB%2584%25A4?gl=KR%26hl=en%26id=XybCC1Kr7sg.P'}}"
람보: 라스트 워,"{'streaming': {}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C3001_C300000012103'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%259E%258C%25EB%25B3%25B4_%25EB%259D%25BC%25EC%258A%25A4%25ED%258A%25B8_%25EC%259B%258C?gl=KR%26hl=en%26id=jfIrmoYlqb4.P'}}"
더 스웜,"{'streaming': {'Netflix': 'http://www.netflix.com/title/81222576'}, 'rent': {}, 'buy': {}}"
인베이젼 2020,"{'streaming': {}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CK01_TCO000012502', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%259D%25B8%25EB%25B2%25A0%25EC%259D%25B4%25EC%25A0%25BC_2020?gl=KR%26hl=en%26id=B03jIAYDnu0.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=5306135', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%259D%25B8%25EB%25B2%25A0%25EC%259D%25B4%25EC%25A0%25BC_2020?gl=KR%26hl=en%26id=B03jIAYDnu0.P'}}"
음양사: 청아집,"{'streaming': {'Netflix': 'http://www.netflix.com/title/81386963'}, 'rent': {}, 'buy': {}}"
라스트 레터,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CK01_TCO000012685'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CK01_TCO000012685', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%259D%25BC%25EC%258A%25A4%25ED%258A%25B8_%25EB%25A0%2588%25ED%2584%25B0?gl=KR%26hl=en%26id=AzXQVPI2UOQ.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=6011900', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%259D%25BC%25EC%258A%25A4%25ED%258A%25B8_%25EB%25A0%2588%25ED%2584%25B0?gl=KR%26hl=en%26id=AzXQVPI2UOQ.P'}}"
크롤,"{'streaming': {'Netflix': 'http://www.netflix.com/title/80203186'}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2581%25AC%25EB%25A1%25A4?gl=KR%26hl=en%26id=NvuTKWWorlU.P', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CQ01_PT0000011299', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4706746'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2581%25AC%25EB%25A1%25A4?gl=KR%26hl=en%26id=NvuTKWWorlU.P', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CQ01_PT0000011299', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4706747'}}"
베이비티스,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CK01_TCO000012591'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CK01_TCO000012591', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25B2%25A0%25EC%259D%25B4%25EB%25B9%2584%25ED%258B%25B0%25EC%258A%25A4?gl=KR%26hl=en%26id=it2fDtphKtM.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=5663620', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25B2%25A0%25EC%259D%25B4%25EB%25B9%2584%25ED%258B%25B0%25EC%258A%25A4?gl=KR%26hl=en%26id=it2fDtphKtM.P'}}"
안녕 베일리,"{'streaming': {'Watcha': 'https://watcha.com/contents/m5Z3Kl6'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_EN01_EN000000503', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4499104'}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_EN01_EN000000503', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4499102'}}"
정직한 후보,"{'streaming': {'Netflix': 'http://www.netflix.com/title/81278007', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CJ01_CA0000011695'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CJ01_CA0000011695', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4983579', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%25A0%2595%25EC%25A7%2581%25ED%2595%259C_%25ED%259B%2584%25EB%25B3%25B4?gl=KR%26hl=en%26id=QdioQmGDjaM.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4983582', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%25A0%2595%25EC%25A7%2581%25ED%2595%259C_%25ED%259B%2584%25EB%25B3%25B4?gl=KR%26hl=en%26id=QdioQmGDjaM.P'}}"
오! 문희,"{'streaming': {'Watcha': 'https://watcha.com/contents/mOAkoMm'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_EN01_EN000000030', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=5542559'}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_EN01_EN000000030', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=5533133'}}"
내일도 우린 사랑하고 있을까,"{'streaming': {'Netflix': 'http://www.netflix.com/title/81476790'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CX01_CX0000011531', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=6048149', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%2582%25B4%25EC%259D%25BC%25EB%258F%2584_%25EC%259A%25B0%25EB%25A6%25B0_%25EC%2582%25AC%25EB%259E%2591%25ED%2595%2598%25EA%25B3%25A0_%25EC%259E%2588%25EC%259D%2584%25EA%25B9%258C?gl=KR%26hl=en%26id=OPsEyKSbIoU.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=6048148'}}"
크리스마스 괴담 : 4가지 이야기,"{'streaming': {}, 'rent': {}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2581%25AC%25EB%25A6%25AC%25EC%258A%25A4%25EB%25A7%2588%25EC%258A%25A4_%25EA%25B4%25B4%25EB%258B%25B4_4%25EA%25B0%2580%25EC%25A7%2580_%25EC%259D%25B4%25EC%2595%25BC%25EA%25B8%25B0?gl=KR%26hl=en%26id=Qa79HxNa1kI.P'}}"
악플러 죽이기,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CU01_DL0000012465'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CU01_DL0000012465', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2595%2585%25ED%2594%258C%25EB%259F%25AC_%25EC%25A3%25BD%25EC%259D%25B4%25EA%25B8%25B0?gl=KR%26hl=en%26id=rzf_MPJumh8.P'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2595%2585%25ED%2594%258C%25EB%259F%25AC_%25EC%25A3%25BD%25EC%259D%25B4%25EA%25B8%25B0?gl=KR%26hl=en%26id=rzf_MPJumh8.P'}}"
앤터벨룸,"{'streaming': {}, 'rent': {}, 'buy': {}}"
추억의 검정고무신,"{'streaming': {'Watcha': 'https://watcha.com/contents/m5mYJ2G'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C901_SG0000134534', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%25B6%2594%25EC%2596%25B5%25EC%259D%2598_%25EA%25B2%2580%25EC%25A0%2595%25EA%25B3%25A0%25EB%25AC%25B4%25EC%258B%25A0?gl=KR%26hl=en%26id=miOAEiqBl3Q.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=5724342', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%25B6%2594%25EC%2596%25B5%25EC%259D%2598_%25EA%25B2%2580%25EC%25A0%2595%25EA%25B3%25A0%25EB%25AC%25B4%25EC%258B%25A0?gl=KR%26hl=en%26id=miOAEiqBl3Q.P'}}"
올리버 색스-그의 생애,"{'streaming': {}, 'rent': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=6585749', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2598%25AC%25EB%25A6%25AC%25EB%25B2%2584_%25EC%2583%2589%25EC%258A%25A4_%25EA%25B7%25B8%25EC%259D%2598_%25EC%2583%259D%25EC%2595%25A0?gl=KR%26hl=en%26id=TPGRttLe6G8.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=6585748', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2598%25AC%25EB%25A6%25AC%25EB%25B2%2584_%25EC%2583%2589%25EC%258A%25A4_%25EA%25B7%25B8%25EC%259D%2598_%25EC%2583%259D%25EC%2595%25A0?gl=KR%26hl=en%26id=TPGRttLe6G8.P'}}"
