title,ott
크레이지 리치 아시안,"{'streaming': {}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2581%25AC%25EB%25A0%2588%25EC%259D%25B4%25EC%25A7%2580_%25EB%25A6%25AC%25EC%25B9%2598_%25EC%2595%2584%25EC%258B%259C%25EC%2595%2588?gl=KR%26hl=en%26id=lKTgtWLo6dA.P', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3778141', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011558'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2581%25AC%25EB%25A0%2588%25EC%259D%25B4%25EC%25A7%2580_%25EB%25A6%25AC%25EC%25B9%2598_%25EC%2595%2584%25EC%258B%259C%25EC%2595%2588?gl=KR%26hl=en%26id=lKTgtWLo6dA.P', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011558', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3778140'}}"
콰이어트 플레이스,"{'streaming': {}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%25BD%25B0%25EC%259D%25B4%25EC%2596%25B4%25ED%258A%25B8_%25ED%2594%258C%25EB%25A0%2588%25EC%259D%25B4%25EC%258A%25A4_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=6uPeUO-J7Fs', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3400212', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CQ01_PT0000011254'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%25BD%25B0%25EC%259D%25B4%25EC%2596%25B4%25ED%258A%25B8_%25ED%2594%258C%25EB%25A0%2588%25EC%259D%25B4%25EC%258A%25A4_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=6uPeUO-J7Fs', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CQ01_PT0000011254', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3400211'}}"
베놈,"{'streaming': {'Watcha': 'https://watcha.com/contents/mdRLbZr'}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25B2%25A0%25EB%2586%2588_Venom?gl=KR%26hl=en%26id=uEv-FGwTDEw', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011543', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3843473'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25B2%25A0%25EB%2586%2588_Venom?gl=KR%26hl=en%26id=uEv-FGwTDEw', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3814231', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011543'}}"
스타 이즈 본,"{'streaming': {}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%258A%25A4%25ED%2583%2580_%25EC%259D%25B4%25EC%25A6%2588_%25EB%25B3%25B8?gl=KR%26hl=en%26id=e0Sdaq_YC_E.P', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3744354', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011557'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%258A%25A4%25ED%2583%2580_%25EC%259D%25B4%25EC%25A6%2588_%25EB%25B3%25B8?gl=KR%26hl=en%26id=e0Sdaq_YC_E.P', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011557', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3744353'}}"
오션스 8,"{'streaming': {}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/Ocean_s_8_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=hoDcwLB-nYI', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3604841'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/Ocean_s_8_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=hoDcwLB-nYI', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011548', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3589394'}}"
킬러의 보디가드,"{'streaming': {}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CK01_TCO000012094', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2582%25AC%25EB%259F%25AC%25EC%259D%2598_%25EB%25B3%25B4%25EB%2594%2594%25EA%25B0%2580%25EB%2593%259C?gl=KR%26hl=en%26id=1wYObtwZcwo'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2582%25AC%25EB%259F%25AC%25EC%259D%2598_%25EB%25B3%25B4%25EB%2594%2594%25EA%25B0%2580%25EB%2593%259C?gl=KR%26hl=en%26id=1wYObtwZcwo', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3024534'}}"
데드풀 2,"{'streaming': {}, 'rent': {}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CH01_FX0000011529'}}"
어벤져스: 인피니티 워,"{'streaming': {}, 'rent': {}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3532815', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2596%25B4%25EB%25B2%25A4%25EC%25A0%25B8%25EC%258A%25A4_%25EC%259D%25B8%25ED%2594%25BC%25EB%258B%2588%25ED%258B%25B0_%25EC%259B%258C_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=ksZR8xjGuBA'}}"
덩케르크,"{'streaming': {}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%258D%25A9%25EC%25BC%2580%25EB%25A5%25B4%25ED%2581%25AC_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=Wq6dvp9lXFE', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3177291', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011537'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%258D%25A9%25EC%25BC%2580%25EB%25A5%25B4%25ED%2581%25AC_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=Wq6dvp9lXFE', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011537', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3120846'}}"
라이프,"{'streaming': {'Netflix': 'http://www.netflix.com/title/80158764', 'Watcha': 'https://watcha.com/contents/mdjaMvq'}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%259D%25BC%25EC%259D%25B4%25ED%2594%2584?gl=KR%26hl=en%26id=vBQju6oESqo', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011486', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2828688'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%259D%25BC%25EC%259D%25B4%25ED%2594%2584?gl=KR%26hl=en%26id=vBQju6oESqo', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2816774', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011486'}}"
