title,ott
셔터 아일랜드,"{'streaming': {'Amazon Prime Video': 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.c6ac5f36-0285-058e-06d1-809431c86a07', 'Watcha': 'https://watcha.com/contents/m5xJLaO'}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2585%2594%25ED%2584%25B0_%25EC%2595%2584%25EC%259D%25BC%25EB%259E%259C%25EB%2593%259C?gl=KR%26hl=en%26id=SzXp5sAB2R4', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CQ01_PT0000011189', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1776054'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2585%2594%25ED%2584%25B0_%25EC%2595%2584%25EC%259D%25BC%25EB%259E%259C%25EB%2593%259C?gl=KR%26hl=en%26id=SzXp5sAB2R4', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CQ01_PT0000011189', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1776053'}}"
인 타임,"{'streaming': {'Netflix': 'http://www.netflix.com/title/70202129', 'Amazon Prime Video': 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.f2af4e15-3143-6131-4819-0c202e21ea85', 'Watcha': 'https://watcha.com/contents/mObMNNW'}, 'rent': {}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CH01_FX0000011314', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1612039', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%259D%25B8_%25ED%2583%2580%25EC%259E%2584?gl=KR%26hl=en%26id=3UMUyyIo7jg'}}"
담배 연기 속에 피는 사랑,"{'streaming': {'Netflix': 'http://www.netflix.com/title/70142792'}, 'rent': {}, 'buy': {}}"
솔트,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011138', 'Watcha': 'https://watcha.com/contents/m5nQMnd'}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2586%2594%25ED%258A%25B8?gl=KR%26hl=en%26id=FEdtWzMfHnU', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011138', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2026979'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2586%2594%25ED%258A%25B8?gl=KR%26hl=en%26id=FEdtWzMfHnU', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=536988', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011138'}}"
드라이브,"{'streaming': {}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CT01_MBC000013444', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%2593%259C%25EB%259D%25BC%25EC%259D%25B4%25EB%25B8%258C?gl=KR%26hl=en%26id=93A13ZxxAhc.P'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%2593%259C%25EB%259D%25BC%25EC%259D%25B4%25EB%25B8%258C?gl=KR%26hl=en%26id=93A13ZxxAhc.P'}}"
팅커 테일러 솔저 스파이,"{'streaming': {}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%258C%2585%25EC%25BB%25A4_%25ED%2585%258C%25EC%259D%25BC%25EB%259F%25AC_%25EC%2586%2594%25EC%25A0%2580_%25EC%258A%25A4%25ED%258C%258C%25EC%259D%25B4?gl=KR%26hl=en%26id=1iOlm8EnyZ4'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%258C%2585%25EC%25BB%25A4_%25ED%2585%258C%25EC%259D%25BC%25EB%259F%25AC_%25EC%2586%2594%25EC%25A0%2580_%25EC%258A%25A4%25ED%258C%258C%25EC%259D%25B4?gl=KR%26hl=en%26id=1iOlm8EnyZ4'}}"
혹성탈출: 진화의 시작,"{'streaming': {}, 'rent': {}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CH01_FX0000011345', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1561558', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2598%25B9%25EC%2584%25B1%25ED%2583%2588%25EC%25B6%259C_%25EC%25A7%2584%25ED%2599%2594%25EC%259D%2598_%25EC%258B%259C%25EC%259E%2591?gl=KR%26hl=en%26id=c397C_zRlX0'}}"
히든 페이스,"{'streaming': {'Netflix': 'http://www.netflix.com/title/70226539'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C3001_C300000011294'}, 'buy': {}}"
머니볼,"{'streaming': {'Netflix': 'http://www.netflix.com/title/70201437'}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25A8%25B8%25EB%258B%2588%25EB%25B3%25BC?gl=KR%26hl=en%26id=Xh-QiYx_Rl8', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011124', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2026959'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25A8%25B8%25EB%258B%2588%25EB%25B3%25BC?gl=KR%26hl=en%26id=Xh-QiYx_Rl8', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1439554', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011124'}}"
세머테리 정션,"{'streaming': {'Netflix': 'http://www.netflix.com/title/70127240'}, 'rent': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2523878'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=542527'}}"
인셉션,"{'streaming': {'Netflix': 'http://www.netflix.com/title/70131314', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011261', 'Watcha': 'https://watcha.com/contents/mW4L2XW'}, 'rent': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=498928', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011261'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=412874', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011261'}}"
철의 여인,"{'streaming': {'Watcha': 'https://watcha.com/contents/mdEvBm5'}, 'rent': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=509278', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%25B2%25A0%25EC%259D%2598_%25EC%2597%25AC%25EC%259D%25B8?gl=KR%26hl=en%26id=ZBNxxvRBiE4'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=418282', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%25B2%25A0%25EC%259D%2598_%25EC%2597%25AC%25EC%259D%25B8?gl=KR%26hl=en%26id=ZBNxxvRBiE4'}}"
그을린 사랑,"{'streaming': {}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CV01_KE0000011825'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EA%25B7%25B8%25EC%259D%2584%25EB%25A6%25B0_%25EC%2582%25AC%25EB%259E%2591?gl=KR%26hl=en%26id=-W1wH98avRI'}}"
악마를 보았다,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C901_SG0000013324'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C901_SG0000013324'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2595%2585%25EB%25A7%2588%25EB%25A5%25BC_%25EB%25B3%25B4%25EC%2595%2598%25EB%258B%25A4?gl=KR%26hl=en%26id=Fhz4Wkvj0ok'}}"
언터처블: 1%의 우정,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C902_EE0000011304', 'Watcha': 'https://watcha.com/contents/mOgDkMd'}, 'rent': {}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2596%25B8%25ED%2584%25B0%25EC%25B2%2598%25EB%25B8%2594_1_%25EC%259D%2598_%25EC%259A%25B0%25EC%25A0%2595?gl=KR%26hl=en%26id=FARO4rv_ixM', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=409693'}}"
몬테 카를로,"{'streaming': {'Netflix': 'http://www.netflix.com/title/70155534', 'Amazon Prime Video': 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.a6af76ff-1c3b-494d-a08e-3674862691c2', 'Watcha': 'https://watcha.com/contents/m5n70nW'}, 'rent': {}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1619356', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25AA%25AC%25ED%2585%258C_%25EC%25B9%25B4%25EB%25A5%25BC%25EB%25A1%259C?gl=KR%26hl=en%26id=mmZXeLgcRRY'}}"
