title,ott
꿈의 제인,"{'streaming': {}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CK01_TCO000011848', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EA%25BF%2588%25EC%259D%2598_%25EC%25A0%259C%25EC%259D%25B8?gl=KR%26hl=en%26id=K_7g6JS0hvk'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EA%25BF%2588%25EC%259D%2598_%25EC%25A0%259C%25EC%259D%25B8?gl=KR%26hl=en%26id=K_7g6JS0hvk'}}"
컨택트,"{'streaming': {'Watcha': 'https://watcha.com/contents/mdRLwlv'}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%25BB%25A8%25ED%2583%259D%25ED%258A%25B8_Arrival?gl=KR%26hl=en%26id=mExodzAZwjs', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011475', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2678616'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%25BB%25A8%25ED%2583%259D%25ED%258A%25B8_Arrival?gl=KR%26hl=en%26id=mExodzAZwjs', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2730635', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011475'}}"
내부자들,"{'streaming': {'Netflix': 'http://www.netflix.com/title/80092929', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_SB01_SB0000000082'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_SB01_SB0000000082', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%2582%25B4%25EB%25B6%2580%25EC%259E%2590%25EB%2593%25A4?gl=KR%26hl=en%26id=-7zkr3bjlpc'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%2582%25B4%25EB%25B6%2580%25EC%259E%2590%25EB%2593%25A4?gl=KR%26hl=en%26id=-7zkr3bjlpc'}}"
아수라,"{'streaming': {'Netflix': 'http://www.netflix.com/title/80144372'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_SU01_SU0000000040', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2595%2584%25EC%2588%2598%25EB%259D%25BC?gl=KR%26hl=en%26id=JzhfffLrLtk'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1822500', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_EN01_EN000000094', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2595%2584%25EC%2588%2598%25EB%259D%25BC?gl=KR%26hl=en%26id=JzhfffLrLtk'}}"
007 스펙터,"{'streaming': {'Watcha': 'https://watcha.com/contents/mWpkjx5'}, 'rent': {}, 'buy': {}}"
라라랜드,"{'streaming': {'Netflix': 'http://www.netflix.com/title/80095365', 'Watcha': 'https://watcha.com/contents/m5GXz42'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CK01_TCO000011801'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2747742', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%259D%25BC%25EB%259D%25BC%25EB%259E%259C%25EB%2593%259C_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=aGZPviLMo7I'}}"
빅 쇼트,"{'streaming': {'Netflix': 'http://www.netflix.com/title/80075560', 'Amazon Prime Video': 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.84b49af0-cc89-50c5-1752-b75eaf031f3d'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CQ01_PT0000011223'}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CQ01_PT0000011223'}}"
맨 인 더 다크,"{'streaming': {'Netflix': 'http://www.netflix.com/title/80100649'}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25A7%25A8_%25EC%259D%25B8_%25EB%258D%2594_%25EB%258B%25A4%25ED%2581%25AC_Don_t_Breathe?gl=KR%26hl=en%26id=dFwNYUNjDKI', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011466'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2075877', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25A7%25A8_%25EC%259D%25B8_%25EB%258D%2594_%25EB%258B%25A4%25ED%2581%25AC_Don_t_Breathe?gl=KR%26hl=en%26id=dFwNYUNjDKI', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011466'}}"
수어사이드 스쿼드,"{'streaming': {'Netflix': 'http://www.netflix.com/title/80091595'}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2588%2598%25EC%2596%25B4%25EC%2582%25AC%25EC%259D%25B4%25EB%2593%259C_%25EC%258A%25A4%25EC%25BF%25BC%25EB%2593%259C?gl=KR%26hl=en%26id=L-RQUDxr5NQ.P', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2510089'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2588%2598%25EC%2596%25B4%25EC%2582%25AC%25EC%259D%25B4%25EB%2593%259C_%25EC%258A%25A4%25EC%25BF%25BC%25EB%2593%259C_%25ED%2599%2595%25EC%259E%25A5%25ED%258C%2590?gl=KR%26hl=en%26id=09Qf3Rsnih0', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011512', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2478568'}}"
헝거게임- 더 파이널,"{'streaming': {'Watcha': 'https://watcha.com/contents/mWJJGxW'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C901_SG0000136224', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2597%259D%25EA%25B1%25B0%25EA%25B2%258C%25EC%259E%2584_%25EB%258D%2594_%25ED%258C%258C%25EC%259D%25B4%25EB%2584%2590?gl=KR%26hl=en%26id=AaN_DllwGG0'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=6063434', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2597%259D%25EA%25B1%25B0%25EA%25B2%258C%25EC%259E%2584_%25EB%258D%2594_%25ED%258C%258C%25EC%259D%25B4%25EB%2584%2590?gl=KR%26hl=en%26id=AaN_DllwGG0'}}"
