title,ott
프리즈너스,"{'streaming': {'Netflix': 'http://www.netflix.com/title/70273235', 'Watcha': 'https://watcha.com/contents/mWv3l0O'}, 'rent': {}, 'buy': {}}"
007 스카이폴,"{'streaming': {'Watcha': 'https://watcha.com/contents/m5x42l5'}, 'rent': {}, 'buy': {}}"
킬링 소프틀리,"{'streaming': {'Netflix': 'http://www.netflix.com/title/70209252', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_SB01_SB0000000052'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_SB01_SB0000000052', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2582%25AC%25EB%25A7%2581_%25EC%2586%258C%25ED%2594%2584%25ED%258B%2580%25EB%25A6%25AC?gl=KR%26hl=en%26id=qvSahHbf-64'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2582%25AC%25EB%25A7%2581_%25EC%2586%258C%25ED%2594%2584%25ED%258B%2580%25EB%25A6%25AC?gl=KR%26hl=en%26id=qvSahHbf-64'}}"
제로 다크 서티,"{'streaming': {'Netflix': 'http://www.netflix.com/title/70251669', 'Watcha': 'https://watcha.com/contents/m5Doj0d'}, 'rent': {}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=607473', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%25A0%259C%25EB%25A1%259C_%25EB%258B%25A4%25ED%2581%25AC_%25EC%2584%259C%25ED%258B%25B0?gl=KR%26hl=en%26id=XAejb-bDgJY.P'}}"
어벤져스,"{'streaming': {}, 'rent': {}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CA01_DY0000011181', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2734261', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2596%25B4%25EB%25B2%25A4%25EC%25A0%25B8%25EC%258A%25A4_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=xjq5NDum_W0'}}"
비긴 어게인,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CS01_PAN000011111', 'Watcha': 'https://watcha.com/contents/mOPpNlO'}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25B9%2584%25EA%25B8%25B4_%25EC%2596%25B4%25EA%25B2%258C%25EC%259D%25B8_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=a9AbGfX_Vz4', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CS01_PAN000011111'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1781025', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25B9%2584%25EA%25B8%25B4_%25EC%2596%25B4%25EA%25B2%258C%25EC%259D%25B8_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=a9AbGfX_Vz4'}}"
비포 미드나잇,"{'streaming': {}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C3001_C300000012459'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25B9%2584%25ED%258F%25AC_%25EB%25AF%25B8%25EB%2593%259C%25EB%2582%2598%25EC%259E%2587?gl=KR%26hl=en%26id=XJIvSknXSRc.P'}}"
더 울프 오브 월 스트리트,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CK01_TCO000011242', 'Watcha': 'https://watcha.com/contents/m5nQXG3'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CK01_TCO000011242', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%258D%2594_%25EC%259A%25B8%25ED%2594%2584_%25EC%2598%25A4%25EB%25B8%258C_%25EC%259B%2594%25EC%258A%25A4%25ED%258A%25B8%25EB%25A6%25AC%25ED%258A%25B8?gl=KR%26hl=en%26id=YgcieDpZUhg'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%258D%2594_%25EC%259A%25B8%25ED%2594%2584_%25EC%2598%25A4%25EB%25B8%258C_%25EC%259B%2594%25EC%258A%25A4%25ED%258A%25B8%25EB%25A6%25AC%25ED%258A%25B8?gl=KR%26hl=en%26id=YgcieDpZUhg'}}"
스토커,"{'streaming': {}, 'rent': {}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%258A%25A4%25ED%2586%25A0%25EC%25BB%25A4?gl=KR%26hl=en%26id=DYg82Lk6fi0'}}"
다크 나이트 라이즈,"{'streaming': {'Netflix': 'http://www.netflix.com/title/70213514', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011176', 'Watcha': 'https://watcha.com/contents/mW4rmed'}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%258B%25A4%25ED%2581%25AC%25EB%2582%2598%25EC%259D%25B4%25ED%258A%25B8_%25EB%259D%25BC%25EC%259D%25B4%25EC%25A6%2588?gl=KR%26hl=en%26id=b01v1RNz_xg', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=524139', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011176'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=519908', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%258B%25A4%25ED%2581%25AC%25EB%2582%2598%25EC%259D%25B4%25ED%258A%25B8_%25EB%259D%25BC%25EC%259D%25B4%25EC%25A6%2588?gl=KR%26hl=en%26id=b01v1RNz_xg', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011176'}}"
