title,ott
아바타,"{'streaming': {}, 'rent': {}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CH01_FX0000011415', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1624656', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2595%2584%25EB%25B0%2594%25ED%2583%2580?gl=KR%26hl=en%26id=p77isaDAKpM'}}"
프로포즈,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CL01_JY0000011327'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CL01_JY0000011327'}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CA01_DY0000011126', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1731495', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2594%2584%25EB%25A1%259C%25ED%258F%25AC%25EC%25A6%2588?gl=KR%26hl=en%26id=l9oWzx0MFKE'}}"
셔터 아일랜드,"{'streaming': {'Amazon Prime Video': 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.c6ac5f36-0285-058e-06d1-809431c86a07', 'Watcha': 'https://watcha.com/contents/m5xJLaO'}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2585%2594%25ED%2584%25B0_%25EC%2595%2584%25EC%259D%25BC%25EB%259E%259C%25EB%2593%259C?gl=KR%26hl=en%26id=SzXp5sAB2R4', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CQ01_PT0000011189', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1776054'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2585%2594%25ED%2584%25B0_%25EC%2595%2584%25EC%259D%25BC%25EB%259E%259C%25EB%2593%259C?gl=KR%26hl=en%26id=SzXp5sAB2R4', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CQ01_PT0000011189', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1776053'}}"
김씨 표류기,"{'streaming': {'Watcha': 'https://watcha.com/contents/mQO8625'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_EN01_EN000000170', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=412854'}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_EN01_EN000000170', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=600506'}}"
담배 연기 속에 피는 사랑,"{'streaming': {'Netflix': 'http://www.netflix.com/title/70142792'}, 'rent': {}, 'buy': {}}"
솔트,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011138', 'Watcha': 'https://watcha.com/contents/m5nQMnd'}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2586%2594%25ED%258A%25B8?gl=KR%26hl=en%26id=FEdtWzMfHnU', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011138', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2026979'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2586%2594%25ED%258A%25B8?gl=KR%26hl=en%26id=FEdtWzMfHnU', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=536988', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011138'}}"
500일의 썸머,"{'streaming': {}, 'rent': {}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CH01_FX0000011267', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1605627', 'Google Play Movies': 'https://play.google.com/store/movies/details/500%25EC%259D%25BC%25EC%259D%2598_%25EC%2584%25AC%25EB%25A8%25B8?gl=KR%26hl=en%26id=PxwUgZo2ylE'}}"
죽여줘! 제니퍼,"{'streaming': {}, 'rent': {}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CH01_FX0000011189'}}"
세머테리 정션,"{'streaming': {'Netflix': 'http://www.netflix.com/title/70127240'}, 'rent': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2523878'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=542527'}}"
인셉션,"{'streaming': {'Netflix': 'http://www.netflix.com/title/70131314', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011261', 'Watcha': 'https://watcha.com/contents/mW4L2XW'}, 'rent': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=498928', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011261'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=412874', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011261'}}"
