title,ott
Joan the Woman,"{'streaming': {}, 'rent': {}, 'buy': {}}"
The Regeneration,"{'streaming': {}, 'rent': {}, 'buy': {}}"
The Rink,"{'streaming': {'Watcha': 'https://watcha.com/contents/mOAZk0Q'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_LX01_LX0000000211'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3218550', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%25B0%25B0%25EB%25A6%25AC_%25EC%25B1%2584%25ED%2594%258C%25EB%25A6%25B0_%25EA%25B1%25B8%25EC%259E%2591%25EC%2584%25A0_6?gl=KR%26hl=en%26id=UrehoFSLdTQ'}}"
The Fireman,"{'streaming': {'Watcha': 'https://watcha.com/contents/mOVvP0Z'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_LX01_LX0000000246'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3361291'}}"
The Pawnshop,"{'streaming': {'Watcha': 'https://watcha.com/contents/mdEwmlg'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_LX01_LX0000000248'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3365401', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%25B0%25B0%25EB%25A6%25AC_%25EC%25B1%2584%25ED%2594%258C%25EB%25A6%25B0_%25EA%25B1%25B8%25EC%259E%2591%25EC%2584%25A0_7?gl=KR%26hl=en%26id=hRqSwLHG1jI'}}"
The Champion,"{'streaming': {}, 'rent': {}, 'buy': {}}"
The Sky Hunters,"{'streaming': {'Curiosity Stream': 'https://app.curiositystream.com/video/1086'}, 'rent': {}, 'buy': {}}"
