title,ott
코코,"{'streaming': {}, 'rent': {}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3241117', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%25BD%2594%25EC%25BD%2594_%25EB%258D%2594%25EB%25B9%2599%25ED%258C%2590?gl=KR%26hl=en%26id=iytYuEriqFs'}}"
컨택트,"{'streaming': {'Watcha': 'https://watcha.com/contents/mdRLwlv'}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%25BB%25A8%25ED%2583%259D%25ED%258A%25B8_Arrival?gl=KR%26hl=en%26id=mExodzAZwjs', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011475', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2678616'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%25BB%25A8%25ED%2583%259D%25ED%258A%25B8_Arrival?gl=KR%26hl=en%26id=mExodzAZwjs', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2730635', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011475'}}"
아수라,"{'streaming': {'Netflix': 'http://www.netflix.com/title/80144372'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_SU01_SU0000000040', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2595%2584%25EC%2588%2598%25EB%259D%25BC?gl=KR%26hl=en%26id=JzhfffLrLtk'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1822500', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_EN01_EN000000094', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2595%2584%25EC%2588%2598%25EB%259D%25BC?gl=KR%26hl=en%26id=JzhfffLrLtk'}}"
킬러의 보디가드,"{'streaming': {}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CK01_TCO000012094', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2582%25AC%25EB%259F%25AC%25EC%259D%2598_%25EB%25B3%25B4%25EB%2594%2594%25EA%25B0%2580%25EB%2593%259C?gl=KR%26hl=en%26id=1wYObtwZcwo'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2582%25AC%25EB%259F%25AC%25EC%259D%2598_%25EB%25B3%25B4%25EB%2594%2594%25EA%25B0%2580%25EB%2593%259C?gl=KR%26hl=en%26id=1wYObtwZcwo', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3024534'}}"
라라랜드,"{'streaming': {'Netflix': 'http://www.netflix.com/title/80095365', 'Watcha': 'https://watcha.com/contents/m5GXz42'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CK01_TCO000011801'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2747742', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%259D%25BC%25EB%259D%25BC%25EB%259E%259C%25EB%2593%259C_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=aGZPviLMo7I'}}"
덩케르크,"{'streaming': {}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%258D%25A9%25EC%25BC%2580%25EB%25A5%25B4%25ED%2581%25AC_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=Wq6dvp9lXFE', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3177291', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011537'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%258D%25A9%25EC%25BC%2580%25EB%25A5%25B4%25ED%2581%25AC_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=Wq6dvp9lXFE', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011537', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3120846'}}"
라이프,"{'streaming': {'Netflix': 'http://www.netflix.com/title/80158764', 'Watcha': 'https://watcha.com/contents/mdjaMvq'}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%259D%25BC%25EC%259D%25B4%25ED%2594%2584?gl=KR%26hl=en%26id=vBQju6oESqo', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011486', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2828688'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%259D%25BC%25EC%259D%25B4%25ED%2594%2584?gl=KR%26hl=en%26id=vBQju6oESqo', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2816774', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CF01_SY0000011486'}}"
수어사이드 스쿼드,"{'streaming': {'Netflix': 'http://www.netflix.com/title/80091595'}, 'rent': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2588%2598%25EC%2596%25B4%25EC%2582%25AC%25EC%259D%25B4%25EB%2593%259C_%25EC%258A%25A4%25EC%25BF%25BC%25EB%2593%259C?gl=KR%26hl=en%26id=L-RQUDxr5NQ.P', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2510089'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2588%2598%25EC%2596%25B4%25EC%2582%25AC%25EC%259D%25B4%25EB%2593%259C_%25EC%258A%25A4%25EC%25BF%25BC%25EB%2593%259C_%25ED%2599%2595%25EC%259E%25A5%25ED%258C%2590?gl=KR%26hl=en%26id=09Qf3Rsnih0', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CD01_WR0000011512', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2478568'}}"
주토피아,"{'streaming': {}, 'rent': {}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=2290479', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%25A3%25BC%25ED%2586%25A0%25ED%2594%25BC%25EC%2595%2584_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=aD67C_WDpd0'}}"
터널,"{'streaming': {'Netflix': 'http://www.netflix.com/title/80132626', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_SB01_SB0000000087', 'Watcha': 'https://watcha.com/contents/m5ZXBo0'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_SB01_SB0000000087', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=6585700', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2584%25B0%25EB%2584%2590?gl=KR%26hl=en%26id=Us-gLsNjEA8'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1609759', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2584%25B0%25EB%2584%2590?gl=KR%26hl=en%26id=JVm03DIV3K4'}}"
