title,ott
신이 말하는 대로,"{'streaming': {}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CT01_MBC000012172'}, 'buy': {}}"
프리즈너스,"{'streaming': {'Netflix': 'http://www.netflix.com/title/70273235', 'Watcha': 'https://watcha.com/contents/mWv3l0O'}, 'rent': {}, 'buy': {}}"
존 윅,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C3001_C300000012481'}, 'rent': {}, 'buy': {}}"
나를 찾아줘,"{'streaming': {'Netflix': 'http://www.netflix.com/title/70305893', 'Amazon Prime Video': 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.f0ab87fd-01de-b8f3-833a-3177cc31f68a'}, 'rent': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4719958'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4719959', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%2582%2598%25EB%25A5%25BC_%25EC%25B0%25BE%25EC%2595%2584%25EC%25A4%2598?gl=KR%26hl=en%26id=Y8VbeyKo-wg'}}"
위플래쉬,"{'streaming': {'Watcha': 'https://watcha.com/contents/mdEw9nb'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_EN01_EN000000062', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1819225', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%259C%2584%25ED%2594%258C%25EB%259E%2598%25EC%2589%25AC?gl=KR%26hl=en%26id=Ijv6tW5mIGo'}, 'buy': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_EN01_EN000000062', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1819223', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%259C%2584%25ED%2594%258C%25EB%259E%2598%25EC%2589%25AC?gl=KR%26hl=en%26id=Ijv6tW5mIGo'}}"
비긴 어게인,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CS01_PAN000011111', 'Watcha': 'https://watcha.com/contents/mOPpNlO'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CV01_KE0000011157', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25B9%2584%25EA%25B8%25B4_%25EC%2596%25B4%25EA%25B2%258C%25EC%259D%25B8_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=a9AbGfX_Vz4'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1781025', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25B9%2584%25EA%25B8%25B4_%25EC%2596%25B4%25EA%25B2%258C%25EC%259D%25B8_%25EC%259E%2590%25EB%25A7%2589%25ED%258C%2590?gl=KR%26hl=en%26id=a9AbGfX_Vz4'}}"
비포 미드나잇,"{'streaming': {}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C3001_C300000012459'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25B9%2584%25ED%258F%25AC_%25EB%25AF%25B8%25EB%2593%259C%25EB%2582%2598%25EC%259E%2587?gl=KR%26hl=en%26id=XJIvSknXSRc.P'}}"
더 울프 오브 월 스트리트,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CK01_TCO000011242', 'Watcha': 'https://watcha.com/contents/m5nQXG3'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CK01_TCO000011242', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%258D%2594_%25EC%259A%25B8%25ED%2594%2584_%25EC%2598%25A4%25EB%25B8%258C_%25EC%259B%2594%25EC%258A%25A4%25ED%258A%25B8%25EB%25A6%25AC%25ED%258A%25B8?gl=KR%26hl=en%26id=YgcieDpZUhg'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%258D%2594_%25EC%259A%25B8%25ED%2594%2584_%25EC%2598%25A4%25EB%25B8%258C_%25EC%259B%2594%25EC%258A%25A4%25ED%258A%25B8%25EB%25A6%25AC%25ED%258A%25B8?gl=KR%26hl=en%26id=YgcieDpZUhg'}}"
미라클 벨리에,"{'streaming': {}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CV01_KE0000011192'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=1979024'}}"
헝거게임- 모킹제이,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C901_SG0000125508', 'Watcha': 'https://watcha.com/contents/mdK3Qkd'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C901_SG0000125508', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2597%259D%25EA%25B1%25B0%25EA%25B2%258C%25EC%259E%2584_%25EB%25AA%25A8%25ED%2582%25B9%25EC%25A0%259C%25EC%259D%25B4?gl=KR%26hl=en%26id=KuDyVM6lm8w.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4881160', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25ED%2597%259D%25EA%25B1%25B0%25EA%25B2%258C%25EC%259E%2584_%25EB%25AA%25A8%25ED%2582%25B9%25EC%25A0%259C%25EC%259D%25B4?gl=KR%26hl=en%26id=KuDyVM6lm8w.P'}}"
